"authors","year","title","booktitle","host_organisation","location","keywords","base_url","path"
"Bruno Royce","2017","Road Safety Study - Candia Road - 'Before' and 'After' Crash Study","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_001.pdf"
"Bruno Royce","2017","Shared Spaces - Auckland - Operational Safety Study","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_002.pdf"
"Jack Logan Gaffney and Jonathan Michael Bunker and Les Anthony Dawes","2017","An Investigation into the Need for Highway Bypass Development","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_004.pdf"
"Auttapone Karndacharuk","2017","Balancing Mobility, Safety and Amenity: Roundabouts in Marsden Park, Australia","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," safety","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_005.pdf"
"Robbie Napper and Ilya Fridman and James Reynolds","2017","Balancing level of service for a battery-electric university intercampus shuttle bus","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," bus public transport","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_006.pdf"
"Mohadeseh Rahbar and Mark Hickman and Mahmoud Mesbah and Ahmad Tavassoli Hojati","2017","The effect of sample size and priors on the estimation of path choice parameters: A Bayesian perspective","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_007.pdf"
"Mahboobeh Moghaddam and Mahmoud Mesbah and Mark Hickman","2017","Using Big Data Sources for Origin-Destination Matrix Adjustment","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," big data","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_009.pdf"
"Mengying Cui and David Levinson. The Healthiest vs","2017","Greenest Path: Comparing the Effects of Internal and External Costs of Motor Vehicle Pollution on Route Choice","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_010.pdf"
"Graham Currie and Chris De Gruyter","2017","Exploring the Sustainability of Public Transport in Australasia","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland","","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_011.pdf"
"Chris De Gruyter and Geoffrey Rose and Kailey Wilson and Zoran Dukanovic and Long Truong","2017","Exploring planning tribunal decisions on travel plans for new developments (abridged version)","Proceedings of the 39th Australasian Transport Research Forum","Auckland University and NZ Ministry of Transport","Auckland"," planning","http://atrf.info/papers/index.aspx","/papers/2017/files/ATRF2017_Abridged_Paper_12.pdf"
